Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,16.299999,18.799999,15.800000,18.299999,18.299999,195920
2019-01-03,18.299999,18.700001,17.600000,18.100000,18.100000,82610
2019-01-04,19.100000,19.900000,18.500000,19.299999,19.299999,147650
2019-01-07,19.600000,21.299999,19.400000,20.700001,20.700001,178860
2019-01-08,20.900000,21.100000,20.100000,20.700001,20.700001,139710
2019-01-09,20.700001,21.400000,20.500000,21.200001,21.200001,103890
2019-01-10,21.100000,21.100000,19.700001,20.600000,20.600000,120090
2019-01-11,20.500000,20.700001,19.600000,19.700001,19.700001,113370
2019-01-14,19.900000,20.000000,18.500000,18.700001,18.700001,98980
2019-01-15,18.500000,20.299999,18.500000,19.900000,19.900000,106350
2019-01-16,19.799999,20.299999,19.400000,19.799999,19.799999,56590
2019-01-17,19.600000,20.000000,19.200001,19.600000,19.600000,62800
2019-01-18,19.200001,19.700001,18.900000,19.400000,19.400000,81620
2019-01-22,19.100000,19.799999,18.000000,18.200001,18.200001,142130
2019-01-23,18.400000,18.600000,17.000000,17.700001,17.700001,115580
2019-01-24,17.700001,18.100000,17.000000,17.299999,17.299999,101630
2019-01-25,17.400000,18.299999,17.100000,18.100000,18.100000,91420
2019-01-28,17.799999,18.500000,17.200001,17.600000,17.600000,76510
2019-01-29,17.700001,18.000000,17.200001,17.299999,17.299999,43440
2019-01-30,17.400000,18.000000,17.200001,17.700001,17.700001,67200
2019-01-31,10.700000,11.000000,6.700000,7.000000,7.000000,2954110
2019-02-01,7.000000,7.400000,5.600000,6.000000,6.000000,1555480
2019-02-04,6.000000,6.500000,5.700000,6.300000,6.300000,727740
2019-02-05,6.300000,6.400000,5.800000,5.900000,5.900000,568780
2019-02-06,6.000000,6.300000,5.900000,6.200000,6.200000,361960
2019-02-07,6.400000,6.500000,5.700000,5.900000,5.900000,516260
2019-02-08,6.000000,6.000000,5.800000,5.900000,5.900000,213750
2019-02-11,5.900000,5.900000,5.700000,5.900000,5.900000,273870
2019-02-12,6.000000,6.200000,5.700000,6.000000,6.000000,926080
2019-02-13,6.000000,6.200000,5.800000,5.900000,5.900000,619180
2019-02-14,5.900000,6.200000,5.800000,6.100000,6.100000,578410
2019-02-15,6.100000,6.300000,5.900000,6.200000,6.200000,581720
2019-02-19,6.400000,7.600000,6.400000,6.800000,6.800000,1984880
2019-02-20,6.800000,6.900000,6.100000,6.200000,6.200000,760170
2019-02-21,6.500000,6.600000,6.200000,6.300000,6.300000,592020
2019-02-22,6.400000,6.400000,6.100000,6.300000,6.300000,362740
2019-02-25,6.300000,6.700000,6.300000,6.600000,6.600000,592410
2019-02-26,6.500000,6.800000,6.300000,6.400000,6.400000,362690
2019-02-27,6.400000,6.500000,6.100000,6.100000,6.100000,339300
2019-02-28,6.000000,6.000000,5.000000,5.400000,5.400000,822440
2019-03-01,5.400000,5.800000,5.100000,5.700000,5.700000,340950
2019-03-04,5.700000,5.900000,5.500000,5.600000,5.600000,295100
2019-03-05,5.700000,5.700000,5.400000,5.500000,5.500000,152080
2019-03-06,5.500000,5.600000,5.300000,5.300000,5.300000,159920
2019-03-07,5.300000,5.300000,4.900000,5.100000,5.100000,364390
2019-03-08,5.000000,5.200000,5.000000,5.100000,5.100000,234130
2019-03-11,5.200000,5.600000,5.200000,5.600000,5.600000,227690
