Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1.160000,1.250000,1.130000,1.250000,1.250000,232900
2019-01-03,1.240000,1.250000,1.170000,1.180000,1.180000,121500
2019-01-04,1.290000,1.290000,1.190000,1.240000,1.240000,200600
2019-01-07,1.300000,1.380000,1.260000,1.350000,1.350000,305300
2019-01-08,1.370000,1.380000,1.280000,1.280000,1.280000,212600
2019-01-09,1.300000,1.320000,1.210000,1.290000,1.290000,331500
2019-01-10,1.300000,1.300000,1.260000,1.290000,1.290000,144500
2019-01-11,1.280000,1.330000,1.280000,1.310000,1.310000,213300
2019-01-14,1.310000,1.350000,1.280000,1.290000,1.290000,103900
2019-01-15,1.310000,1.340000,1.280000,1.320000,1.320000,340500
2019-01-16,1.330000,1.340000,1.300000,1.330000,1.330000,112400
2019-01-17,1.310000,1.330000,1.270000,1.280000,1.280000,98100
2019-01-18,1.280000,1.300000,1.230000,1.240000,1.240000,114800
2019-01-22,1.220000,1.280000,1.220000,1.240000,1.240000,112400
2019-01-23,1.260000,1.260000,1.200000,1.210000,1.210000,143800
2019-01-24,1.220000,1.260000,1.200000,1.250000,1.250000,81200
2019-01-25,1.250000,1.270000,1.210000,1.270000,1.270000,139600
2019-01-28,1.260000,1.260000,1.200000,1.230000,1.230000,108100
2019-01-29,1.240000,1.270000,1.210000,1.220000,1.220000,139700
2019-01-30,1.250000,1.260000,1.200000,1.240000,1.240000,161200
2019-01-31,1.250000,1.260000,1.210000,1.210000,1.210000,165000
2019-02-01,1.210000,1.270000,1.210000,1.240000,1.240000,70400
2019-02-04,1.240000,1.310000,1.240000,1.280000,1.280000,133900
2019-02-05,1.280000,1.390000,1.270000,1.280000,1.280000,279400
2019-02-06,1.280000,1.330000,1.270000,1.300000,1.300000,99600
2019-02-07,1.300000,1.340000,1.250000,1.280000,1.280000,66600
2019-02-08,1.280000,1.280000,1.240000,1.250000,1.250000,85800
2019-02-11,1.260000,1.280000,1.230000,1.270000,1.270000,57200
2019-02-12,1.270000,1.330000,1.250000,1.290000,1.290000,156400
2019-02-13,1.320000,1.340000,1.270000,1.340000,1.340000,232100
2019-02-14,1.340000,1.380000,1.320000,1.360000,1.360000,132600
2019-02-15,1.370000,1.450000,1.320000,1.390000,1.390000,361600
2019-02-19,1.390000,1.440000,1.390000,1.420000,1.420000,93200
2019-02-20,1.440000,1.480000,1.370000,1.370000,1.370000,242600
2019-02-21,1.340000,1.730000,1.300000,1.700000,1.700000,1005400
2019-02-22,1.670000,1.770000,1.540000,1.670000,1.670000,561000
2019-02-25,1.690000,1.750000,1.590000,1.650000,1.650000,260100
2019-02-26,1.650000,1.720000,1.610000,1.610000,1.610000,122500
2019-02-27,1.610000,1.630000,1.580000,1.620000,1.620000,118000
2019-02-28,1.630000,1.630000,1.500000,1.570000,1.570000,249200
2019-03-01,1.560000,1.610000,1.560000,1.590000,1.590000,109000
2019-03-04,1.610000,1.700000,1.560000,1.600000,1.600000,143200
2019-03-05,1.590000,1.640000,1.580000,1.640000,1.640000,54700
2019-03-06,1.740000,1.810000,1.650000,1.710000,1.710000,801300
2019-03-07,1.730000,1.740000,1.510000,1.550000,1.550000,435300
2019-03-08,1.500000,1.660000,1.500000,1.500000,1.500000,113800
2019-03-11,1.500000,1.560000,1.500000,1.520000,1.520000,87900
